,Unnamed: 0,Area Cidade,Car Registros,CAR - Area,Percentual CAR,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
7,Altamira,160727.2652030692,6582,78465.34993651319,48.81894172552303,66756.23868173933,60646.53238651431,986,77.29084549496535
119,São Félix do Xingu,84960.43896431127,12072,53481.13141403288,62.94827576926517,16173.871130690042,18322.446690725632,1411,34.259646732002416
96,Porto de Moz,17448.579930427684,1923,19615.23704956588,112.41738369413017,12901.649268141926,16314.908185098404,80,83.17466744792404
57,Itaituba,62422.70980988564,5844,29410.91865661104,47.11573519666932,44705.83540540154,15236.958689105164,966,51.807149810603335
59,Jacareacanga,53797.02527317368,648,20407.33908401711,37.93395448984684,11475.327902515332,13816.249677618263,147,67.70235757212983
