,Unnamed: 0,Area Cidade,Car Registros,CAR - Area,Percentual CAR,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT
119,São Félix do Xingu,84960.43896431127,12072,53481.13141403288,62.94827576926517,46685.21771964767,2657.122232726209,137,4.968335864392369
7,Altamira,160727.2652030692,6582,78465.34993651319,48.81894172552303,78144.22050019703,1749.431227873471,321,2.229558944539146
50,Goianésia do Pará,7046.464141763258,3829,6899.062798730825,97.90815166206824,1626.5023639367378,1581.069288754421,50,22.91716041554629
128,Senador José Porfírio,14469.30113117542,2719,7513.527705719907,51.92737118126135,10177.27768246892,1359.1123897534646,151,18.088871738887686
59,Jacareacanga,53797.02527317368,648,20407.33908401711,37.93395448984684,30723.12275255298,1116.826082887441,13,5.47266881923931
