gid,esp_cd,cod_snisb,cod_sar,nmoriginal,nmalternat,nmgenerico,nmligacao,nmespecifi,detipomass,dedominial,dedominio,defiscaliz,nmemp,fonmemp,dtreserv,fodtreserv,nuvolumhm3,fonuvolume,nuperimkm,nuareakm2,nuareaha,nucompgeom,usoprinc,fousoprinc,detipoapr,detipomda,salinidade,regime,nmriocomp,nmufe,nmmun,defonte,desatelite,deversao,deobs,nuvzreg,nuvzlago,nuvzdeflu,cdtipooper,detipooper,fovzlago,fovzdeflu,fovzreg,cobarprin,cotrecho,nuvzrecebe,nuvztransf,deobsvazao,cocda2013,cocda2017
48071.0,38574.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,4.22540217488299,0.20235537128938,20.235537128938,2.64886479583737,,,,Lago/Lagoa,,Permanente,,PARÁ,ALTAMIRA,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
58129.0,55585.0,,,Rio Bacajá,,Rio,,Bacajá,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,489.764897149284,30.7034939369965,3070.34939369965,24.9254417189032,,,,Rio,,,Rio Bacajá,PARÁ,"ANAPU, SÃO FÉLIX DO XINGU, SENADOR JOSÉ PORFÍRIO",,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,4216,4216
56366.0,47422.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.53970593678802,0.07161854658886,7.16185465888598,1.62246053220735,,,,Meandro abandonado,Doce,Permanente,,PARÁ,CONCEIÇÃO DO ARAGUAIA,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
46835.0,36026.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,5.62405785494858,0.228640624419433,22.8640624419433,3.31682218203444,,,,Lago/Lagoa,,Permanente,,PARÁ,JACAREACANGA,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
53477.0,37315.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.52216127744042,0.271106856064134,27.1106856064134,1.36600318420035,,,,Lago/Lagoa,,Permanente,,PARÁ,ALMEIRIM,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
54660.0,38605.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.26136418449848,0.105465955416369,10.5465955416369,1.96364724321614,,,,Lago/Lagoa,,Permanente,,PARÁ,IPIXUNA DO PARÁ,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
24962.0,35431.0,,,,,,,,Natural,Federal,Corpo Hídrico Federal,,,,,,,,2.3178452971389,0.232086693498933,23.2086693498933,1.35677687748884,,,,Lago/Lagoa,,Permanente,,PARÁ,MONTE ALEGRE,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
240580.0,21003.0,,,Rio Trombetas,,Rio,,Trombetas,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,801.742941838695,106.949355480144,10694.9355480144,21.8622656818142,,,,Rio,,,Rio Trombetas,PARÁ,ORIXIMINÁ,Carta 1:250000,170-101_20050825,bho_massa_dagua,,,,,,,,,,,,,,,454,454
56211.0,56773.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,4.53464069601573,0.722490490723059,72.249049072306,1.50444363729287,,,,Rio,,,Rio Caracuru,PARÁ,OEIRAS DO PARÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,62246,62246
44847.0,53813.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,8.53920803360342,0.835190636210267,83.5190636210267,2.63495919477498,,,,Rio,,,Furo Maúba,PARÁ,"ABAETETUBA, IGARAPÉ-MIRI",,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,6,6
37950.0,63032.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,11.3744640470896,1.60265580779546,160.265580779546,2.53372758563345,,,,,,,,PARÁ,PRAINHA,,,bho_massa_dagua_2019,Atualizada geometria em 09/2016,,,,,,,,,,,,,,,
242042.0,243828.0,5541.0,,Barragem SP7A,,Barragem,,SP7A,Artificial,Federal,Terra da União (Unidade de Conservação),ANM,Mineração Rio do Norte S.A.,ANM,,,,,2.69218682813883,0.358300717472245,35.8300717472245,1.26832474172882,Contenção de rejeitos de mineração,ANM,,,,,,PARÁ,ORIXIMINÁ,,,bho_massa_dagua_2019,,,,,,,,,,,,,,,,
44748.0,54023.0,,,Igarapé Tatuoca,,Igarapé,,Tatuoca,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,6.18689313632054,0.389977977225169,38.9977977225169,2.79384097082997,,,,,,,,PARÁ,MUANÁ,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
23871.0,57001.0,,,Rio Baiano,,Rio,,Baiano,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,7.52923265615205,0.492745854885591,49.2745854885591,3.02474199300562,,,,,,,,PARÁ,BREVES,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
13000.0,37381.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.28229731072459,0.097652848816741,9.76528488167408,1.15716524431634,,,,Lago/Lagoa,,Permanente,,PARÁ,MONTE ALEGRE,,,hid_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
