,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
MB0335000,Assen.,PA SÃO GERALDO DO REPARTIMENTO (MB0335000),MB0335000,19.974211741164147,18.837896669791753,6,94.31108928804133
MB0336000,Assen.,PA NOVO MUNDO DO ITUPIRANGA (MB0336000),MB0336000,12.442640598376736,11.524715397005322,1,92.62274599901916
MB0337000,Assen.,PA BOA ESPERANÇA DO ARAGUAIA (MB0337000),MB0337000,26.36530340704912,25.246420000060983,8,95.75622783582689
MB0338000,Assen.,PA UNIÃO (MB0338000),MB0338000,27.577255952921913,27.272871694049194,3,98.89624892559164
MB0339000,Assen.,PA JERUZALÉM (MB0339000),MB0339000,11.457848193460853,11.220459057345526,3,97.92815254568647
MB0340000,Assen.,PA SANTA TEREZINHA (MB0340000),MB0340000,24.853678431962585,23.64936797300525,4,95.15439751804081
MB0341000,Assen.,PA SAMAUMA (MB0341000),MB0341000,13.587627812222882,13.586760906748271,3,99.99361989092878
MB0342000,Assen.,PA MARRECAS DO ARAGUAIA (MB0342000),MB0342000,36.82102831050776,34.190824302616754,6,92.85678828491487
MB0343000,Assen.,PA CUXIÚ (MB0343000),MB0343000,4.972005696215282,0.0,0,0.0
MB0344000,Assen.,PA JOSE PINHEIRO LIMA (MB0344000),MB0344000,38.54438506210505,37.0547796124308,8,96.13535033112058
MB0345000,Assen.,PA JURUNA (MB0345000),MB0345000,122.46035839790561,121.35622094040384,21,99.09837152859366
MB0346000,Assen.,PA PALMARES SUL (MB0346000),MB0346000,96.50664733259504,94.52199216121474,2,97.9435041769294
MB0347000,Assen.,PA ALCOBAÇA (MB0347000),MB0347000,45.801035596050525,44.57157754905301,8,97.31565448030277
MB0351000,Assen.,PA IGARAPE DO RATO (MB0351000),MB0351000,23.15440079216444,21.807375900647706,2,94.18242387869275
MB0352000,Assen.,PA ARAÇATUBA CARAJÁS (MB0352000),MB0352000,14.222443209380689,13.785229363473485,2,96.92588791200917
MB0353000,Assen.,PA 4 DE JUNHO (MB0353000),MB0353000,12.551842501740062,12.535227302089483,1,99.86762740491466
MB0354000,Assen.,PA JARDIM (MB0354000),MB0354000,24.49741295896388,24.113798592747298,2,98.43406172374534
MB0355000,Assen.,PA FÊNIX (MB0355000),MB0355000,14.627855140554544,14.371904126807705,1,98.25024919041455
MB0356000,Assen.,PA JOSÉ DUTRA DA COSTA (MB0356000),MB0356000,29.42120852815193,29.0066100626435,4,98.5908176915584
MB0357000,Assen.,PA BONANZA (MB0357000),MB0357000,13.52242110568228,13.422013034077633,8,99.25746971773823
MB0358000,Assen.,PA NOSSA SENHORA APARECIDA (MB0358000),MB0358000,34.13178567674989,33.486645044387394,10,98.10985385156114
MB0359000,Assen.,PA NOVA VITORIA (MB0359000),MB0359000,59.50284396831539,59.009980121850994,2,99.17169699195078
MB0360000,Assen.,PA UNIDOS PARA VENCER (MB0360000),MB0360000,21.123002875319866,20.265986814484712,2,95.94273567118388
MB0361000,Assen.,PA PIQUIÁ (MB0361000),MB0361000,33.378206653687386,33.05225708957347,5,99.02346591745994
MB0363000,Assen.,PA PIRASSUNUNGA (MB0363000),MB0363000,4.909175719034086,3.915148331304817,2,79.75164376628078
MB0364000,Assen.,PA POUSO ALEGRE (MB0364000),MB0364000,15.652951893133887,15.410320871610427,4,98.44993440738875
MB0365000,Assen.,PA SANTA RITA (MB0365000),MB0365000,6.930911039172997,6.902583873729036,1,99.59129232385384
MB0366000,Assen.,PA POUSO BONITO (MB0366000),MB0366000,14.23292631221767,13.625244416076372,1,95.73045006479337
MB0367000,Assen.,PA BOA SORTE II (MB0367000),MB0367000,7.20116949804815,7.078247273796086,2,98.2930241499609
MB0368000,Assen.,PA SANTA MARTA (MB0368000),MB0368000,12.168812160924187,11.663433724424186,2,95.84693699091811
MB0369000,Assen.,PA 8 DE MARÇO (MB0369000),MB0369000,14.995122136769874,14.6567422994906,2,97.74340059258654
MB0370000,Assen.,PA NOSSA SENHORA DA GUIA (MB0370000),MB0370000,22.5000895734173,22.077682007645997,1,98.12264051486108
MB0371000,Assen.,PA VALE DO ARATAU (MB0371000),MB0371000,20.120406417384512,19.10111768007873,4,94.93405492830854
MB0372000,Assen.,PA NOVA UNIÃO (MB0372000),MB0372000,13.075575442668656,9.439981615674546,2,72.19553477447487
MB0373000,Assen.,PA COCALÂNDIA II (MB0373000),MB0373000,16.507029505187425,16.127357461883477,1,97.69993721047973
MB0379000,Assen.,PA CABANOS (MB0379000),MB0379000,29.246066339882155,29.063556704238664,4,99.3759515090937
MB0374000,Assen.,PA PARAUNA (MB0374000),MB0374000,20.813787266998467,17.105930874294895,2,82.18557562283436
MB0375000,Assen.,PA REUNIDAS (MB0375000),MB0375000,43.17810483040881,42.078589550131966,2,97.45353510860323
MB0376000,Assen.,PA PALMEIRA JUSSARA (MB0376000),MB0376000,9.617938125391168,9.392845058637345,1,97.65965361994186
MB0377000,Assen.,PA CONSPEL (MB0377000),MB0377000,10.540945750476515,10.08220060375344,1,95.64796975923781
MB0378000,Assen.,PA JOÃO LANARI DO VAL (MB0378000),MB0378000,48.4386192561748,47.42782311871794,8,97.91324329021205
MB0381000,Assen.,PA CASTANHAL ALMESCÃO (MB0381000),MB0381000,35.87580595085148,35.66377486872638,8,99.40898587082454
MB0382000,Assen.,PA NOVO PROJETO (MB0382000),MB0382000,19.496783647066838,16.945515135701466,3,86.91441338454206
MB0383000,Assen.,PA MATA AZUL III (MB0383000),MB0383000,28.285521021847646,28.253711629662014,7,99.88754178450147
MB0385000,Assen.,PA IRMÃ DULCE (MB0385000),MB0385000,44.02046711971067,42.64933061154422,11,96.88522953553006
