,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
136607,PA-1507300-C7AF3E9C7C2A4BBD93C4019B0C24884D,PA-1507300-C7AF3E9C7C2A4BBD93C4019B0C24884D,Aguardando analise,Sao Felix do Xingu,0.0293329825448045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158987,PA-1504208-6C8DB3CEB37A4FDAB2FCAAF83DE8226A,PA-1504208-6C8DB3CEB37A4FDAB2FCAAF83DE8226A,Aguardando analise,Maraba,0.0006596245765134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171321,PA-1506187-2BEE743311664E4CA2B614EE2C5A86C5,PA-1506187-2BEE743311664E4CA2B614EE2C5A86C5,Aguardando analise,Rondon do Para,0.0011437152984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171323,PA-1506187-5C39C1CD0B83499E814D2FDB8EA6993C,PA-1506187-5C39C1CD0B83499E814D2FDB8EA6993C,Aguardando analise,Rondon do Para,0.0010561726439033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171324,PA-1506187-397790B9CD684F78B7361624B1F0BCAA,PA-1506187-397790B9CD684F78B7361624B1F0BCAA,Aguardando analise,Rondon do Para,0.0010476987728215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171325,PA-1506187-30A95AE3329A42C9986A0AF9EE1ABA3F,PA-1506187-30A95AE3329A42C9986A0AF9EE1ABA3F,Aguardando analise,Rondon do Para,0.0009262675775165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171326,PA-1506187-CF187128BBD447D3A6B23E6060B22DE5,PA-1506187-CF187128BBD447D3A6B23E6060B22DE5,Aguardando analise,Rondon do Para,0.0010279306458502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171747,PA-1503705-41027F147C9342868F6140C8FD790F02,PA-1503705-41027F147C9342868F6140C8FD790F02,Aguardando analise,Itupiranga,0.0009588104474062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186703,PA-1507805-859DB38E054F4B458DEE8870586B181D,PA-1507805-859DB38E054F4B458DEE8870586B181D,Cancelado por decisao administrativa,Senador Jose Porfirio,10.210075793121964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223615,PA-1507300-B4835B0927174354A99BFDE7AFA5C6E8,PA-1507300-B4835B0927174354A99BFDE7AFA5C6E8,Cancelado por decisao administrativa,Sao Felix do Xingu,2.3052831728103462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230000,PA-1504208-B8FEE75F737941D5AEF1D13D3CE9319B,PA-1504208-B8FEE75F737941D5AEF1D13D3CE9319B,"Analisado, aguardando atendimento a notificacao",Maraba,0.0373457112722338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230172,PA-1505635-10F6F4B84BF047C996B21945A3AAEF32,PA-1505635-10F6F4B84BF047C996B21945A3AAEF32,Aguardando analise,Picarra,0.0091572778803077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230174,PA-1502954-2961601F0B214CBDB7744818A19D9BC1,PA-1502954-2961601F0B214CBDB7744818A19D9BC1,"Analisado, aguardando atendimento a notificacao",Eldorado do Carajas,0.0013957843003054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231996,PA-1504208-F2A69EA970D54CEDB75BD79510E4071F,PA-1504208-F2A69EA970D54CEDB75BD79510E4071F,"Analisado, aguardando atendimento a notificacao",Maraba,0.0170574749439816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
