,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
292299,PA-1503093-4AC7E247A19D4782BE8328F673A8EF6A,PA-1503093-4AC7E247A19D4782BE8328F673A8EF6A,Aguardando analise,Goianesia do Para,0.0015140057735468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293045,PA-1507300-621360022E694457812A369C9E4D4D14,PA-1507300-621360022E694457812A369C9E4D4D14,Aguardando analise,Sao Felix do Xingu,0.0088325145772674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293051,PA-1507300-56EE57876BC44F53A78C47D9F8848AA7,PA-1507300-56EE57876BC44F53A78C47D9F8848AA7,Aguardando analise,Sao Felix do Xingu,0.0042800045991585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293156,PA-1507300-545BA3BB9895440DBB7B3DF83B915974,PA-1507300-545BA3BB9895440DBB7B3DF83B915974,Aguardando analise,Sao Felix do Xingu,0.006082152464312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293181,PA-1507300-62189B2ECAF44864B67BB55946DB7C69,PA-1507300-62189B2ECAF44864B67BB55946DB7C69,Aguardando analise,Sao Felix do Xingu,0.017837185811321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293679,PA-1500602-83E597249DBE4B7292ABB70190018B86,PA-1500602-83E597249DBE4B7292ABB70190018B86,"Analisado, aguardando atendimento a notificacao",Altamira,0.0153678843188813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295870,PA-1503705-A76FAE62434F4169B4DF6998BCBDE07D,PA-1503705-A76FAE62434F4169B4DF6998BCBDE07D,Aguardando analise,Itupiranga,0.0501930211014233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296196,PA-1503457-FCD77FA2B75E45E79948480FB6027FB7,PA-1503457-FCD77FA2B75E45E79948480FB6027FB7,Aguardando analise,Ipixuna do Para,0.0063315293758388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296214,PA-1503457-367854FD812A4316ABD93F443EA4D26E,PA-1503457-367854FD812A4316ABD93F443EA4D26E,Aguardando analise,Ipixuna do Para,0.0055401062610126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296221,PA-1503457-DC7ABF1055EE4F528B154125836729F5,PA-1503457-DC7ABF1055EE4F528B154125836729F5,Aguardando analise,Ipixuna do Para,0.0031654663177244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
