,Unnamed: 0,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT
83,Oriximiná,107715.19471912118,3172,22853.28733180238,21.21640070502101,8828.705503502806,13720.83028737246,87,60.0387597992465
81,Óbidos,28038.07989807044,3084,14843.550037428668,52.940679573604434,1385.3104735227453,4705.145416611634,59,31.69824876628165
51,Gurupá,8578.22548677504,1838,11743.270649735492,136.8962691391124,873.5464365745174,1771.5534672004703,7,15.085690520471594
113,Santarém,17933.39132150469,4508,25896.386799647225,144.40317693058853,266.97884710377394,621.9290549913289,36,2.401605520503738
82,Oeiras do Pará,3858.337114593903,1971,3550.691900707528,92.02648175239204,258.69339253333766,524.4634837747004,8,14.770740420203548
