,Unnamed: 0,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT
95,Portel,25431.62985920641,4892,47191.5699100123,185.5625068911132,5430.291738512086,13966.239714734127,520,29.594776654741068
113,Santarém,17933.39132150469,4508,25896.386799647225,144.40317693058853,5010.67415331678,13500.126684832854,255,52.13131387509535
119,São Félix do Xingu,84960.43896431127,12072,53481.13141403288,62.94827576926517,4684.573239303992,11958.06217520723,882,22.35940388514212
83,Oriximiná,107715.19471912118,3172,22853.28733180238,21.21640070502101,3903.359633399537,11183.194307111564,299,48.93472936626126
69,Medicilândia,8291.556342358706,5006,15139.94201860564,182.5946950545447,5188.720005645187,10895.995946706937,429,71.96854474948931
